GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ocado,pl.edu.agh.kis.pz1.domain,PaymentMethod,21,85,2,2,3,16,4,14,2,14
Ocado,pl.edu.agh.kis.pz1.domain,Result,10,15,0,0,1,3,1,3,1,3
Ocado,pl.edu.agh.kis.pz1.domain,Order,23,66,0,0,1,13,3,12,3,12
Ocado,pl.edu.agh.kis.pz1.optimizer,PaymentOptimizer.PotentialFullPayment,3,24,0,0,1,9,1,4,1,4
Ocado,pl.edu.agh.kis.pz1.optimizer,PaymentOptimizer,29,413,13,47,7,96,13,36,1,18
Ocado,pl.edu.agh.kis.pz1.optimizer,NotFoundPaymentsException,0,4,0,0,0,2,0,1,0,1
Ocado,pl.edu.agh.kis.pz1,Main,80,0,4,0,29,0,4,0,2,0
Ocado,pl.edu.agh.kis.pz1.utils,JsonParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Ocado,pl.edu.agh.kis.pz1.utils,JsonParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Ocado,pl.edu.agh.kis.pz1.utils,JsonParser,7,41,0,0,2,9,1,3,1,3
Ocado,pl.edu.agh.kis.pz1.utils,BigDecimalUtil,11,93,3,21,2,23,4,15,1,6
